city,country,region
Cambridge,United States,North America
Stanford,United States,North America
Cambridge,United States,North America
Cambridge,United Kingdom,Europe
Pasadena,United States,North America
Oxford,United Kingdom,Europe
London,United Kingdom,Europe
Zürich,Switzerland,Europe
London,United Kingdom,Europe
Chicago,United States,North America
Princeton,United States,North America
Singapore,Singapore,Asia
Singapore,Singapore,Asia
Lausanne,Switzerland,Europe
New Haven,United States,North America
Ithaca,United States,North America
Baltimore,United States,North America
Philadelphia,United States,North America
Edinburgh,United Kingdom,Europe
New York City,United States,North America
London,United Kingdom,Europe
Canberra,Australia,Oceania
Ann Arbor,United States,North America
Beijing,China (Mainland),Asia
Durham,United States,North America
Evanston,United States,North America
Hong Kong,Hong Kong SAR,Asia
Berkeley,United States,North America
Manchester,United Kingdom,Europe
Montreal,Canada,North America
Los Angeles,United States,North America
Toronto,Canada,North America
Paris,France,Europe
Tokyo,Japan,Asia
Seoul,South Korea,Asia
Hong Kong,Hong Kong SAR,Asia
Kyoto,Japan,Asia
London,United Kingdom,Europe
Beijing,China (Mainland),Asia
San Diego,United States,North America
Bristol,United Kingdom,Europe
Parkville,Australia,Oceania
Shanghai,China (Mainland),Asia
Hong Kong,Hong Kong SAR,Asia
Vancouver,Canada,North America
Sydney,Australia,Oceania
New York City,United States,North America
Daejeon,South Korea,Asia
Sydney,Australia,Oceania
Providence,United States,North America
Brisbane,Australia,Oceania
Coventry,United Kingdom,Europe
Madison,United States,North America
Palaiseau,France,Europe
Hong Kong,Hong Kong SAR,Asia
Tokyo,Japan,Asia
Amsterdam,Netherlands,Europe
Pittsburgh,United States,North America
Seattle,United States,North America
Munich,Germany,Europe
Shanghai,China (Mainland),Asia
Delft,Netherlands,Europe
Osaka City,Japan,Asia
Glasgow,United Kingdom,Europe
Melbourne,Australia,Oceania
Champaign,United States,North America
Austin,United States,North America
Munich,Germany,Europe
Taipei City,Taiwan,Asia
Copenhagen,Denmark,Europe
Atlanta,United States,North America
Heidelberg,Germany,Europe
Lund,Sweden,Europe
Durham,United Kingdom,Europe
Sendai City,Japan,Asia
Nottingham,United Kingdom,Europe
St. Andrews,United Kingdom,Europe
Chapel Hill,United States,North America
Leuven,Belgium,Europe
Zürich,Switzerland,Europe
Auckland,New Zealand,Oceania
Birmingham,United Kingdom,Europe
Pohang ,South Korea,Asia
Sheffield,United Kingdom,Europe
Buenos Aires,Argentina,Latin America
Davis,United States,North America
Southampton,United Kingdom,Europe
Columbus,United States,North America
Boston,United States,North America
Houston,United States,North America
Helsinki,Finland,Europe
West Lafayette,United States,North America
Leeds,United Kingdom,Europe
Edmonton,Canada,North America
University Park,United States,North America
Geneva,Switzerland,Europe
Stockholm,Sweden,Europe
Uppsala,Sweden,Europe
Seoul,South Korea,Asia
Dublin,Ireland,Europe
Karlsruhe,Germany,Europe
Leiden,Netherlands,Europe
Perth,Australia,Oceania
Utrecht,Netherlands,Europe
Hefei,China (Mainland),Asia
Suwon,South Korea,Asia
St. Louis,United States,North America
Moscow,Russia,Europe
Kongens Lyngby,Denmark,Europe
Hangzhou,China (Mainland),Asia
Hong Kong,Hong Kong SAR,Asia
Seoul,South Korea,Asia
Oslo,Norway,Europe
Groningen,Netherlands,Europe
Nanjing,China (Mainland),Asia
Nagoya,Japan,Asia
Santa Barbara,United States,North America
Wageningen,Netherlands,Europe
São Paulo,Brazil,Latin America
Berlin,Germany,Europe
Eindhoven,Netherlands,Europe
Berlin,Germany,Europe
London,United Kingdom,Europe
Adelaide,Australia,Oceania
Montreal,Canada,North America
York,United Kingdom,Europe
Mexico City,Mexico,Latin America
Lancaster,United Kingdom,Europe
Sapporo,Japan,Asia
Ghent,Belgium,Europe
College Park,United States,North America
Kuala Lumpur,Malaysia,Asia
Espoo,Finland,Europe
Fukuoka City,Japan,Asia
Los Angeles,United States,North America
Minneapolis,United States,North America
Lausanne,Switzerland,Europe
